id,title,total_likes,total_purchases,unit_price_in_usd
201917,Mini ramp Session,7,1571,3.45
201956,Visit to the Aerospace Museum,10,192,15.9
201972,5 Vignettes,12,201,8.04
201978,3 Day Fungus,11,364,5.04
202001,cyrus,7,134,4.25
202009,With apologies to Jesus,27,1616,21.28
202026,Generico,10,573,8.55
202038,i could care less,30,311,37.8
202059,Ice Cream!,7,190,13.05
202067,Sneaking Into Graduation,10,1420,11.48
202080,5 vignettes: Transported to Hawai'i,11,152,12.76
202086,Buffalo! To the Moon!,109,2547,24.48
202147,"Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007 Radisson SAS Part-3",8,39,2.08
202156,"Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007 Radisson SAS Part-4",9,47,0.62
202157,5 vignettes,31,2485,21.96
202161,"Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007 Radisson SAS Part-5",10,61,1.01
202172,"Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007 Radisson SAS Part-6",9,79,1
202180,5 Vignettes,16,212,13.2
202188,5 Vignettes,6,126,2.55
202208,5 vignettes (3),11,160,2.48
202210,Meet Maddox Milo Morton,8,120,5.5
202219,Purpose - Lip Dub,57,1573,35.34
202233,Thinking in the Hammock,7,231,4.55
202246,Best Friends,21,294,11.96
202247,Sadako And The Cranes,10,970,9.84
202329,Shadow World - episode 1 - resumes,6,95,6
202368,Life of BK #5:  Self Inflicted Nocturnal Cockblocking,31,1123,6.3
202392,vimiette two,13,164,5.85
202428,Two of my internet worlds collide,6,156,1.8
202466,Grandma's First Photo Booth Session,115,7260,53.07
202496,Me Right Now. 6-1-07 5:30ish,32,33319,25.9
202529,My Dad's Caddy,12,229,21.78
202537,Desktop Magic,12,1027,4.12
202559,Walk This Way,6,227,14.72
202565,"Davey Dance Blog -1- VATICAN - Tom Waits - ""Chocolate Jesus""",28,5087,8.91
202572,"Davey Dance Blog -2- FIRENZE - Maroon Five - ""Harder To Breathe""",16,3987,7.98
202585,"Davey Dance Blog -3- PISA - The Beatles - ""Don't Let Me Down""",23,3310,6.72
202592,Pianolina,16,575,19.68
202602,"Davey Dance Blog -4- FIRENZE - Vanilla Ice - ""Havin a Roni""",7,3542,6.42
202613,Davey Dance Blog -5- ROMA - Peter Bjorn and John -,40,3947,8.26
202617,May-07,8,177,4.3
202619,"""Jing Pops Up.""",41,816,23.49
202624,"Davey Dance Blog -6- PARIS - Katerine - ""Apres Moi""",61,4807,16.16
202634,5x5 = 26,7,128,13.65
202635,"Davey Dance Blog -7- ROUEN - Modest Mouse - ""Tiny Cities Made of Ashes""",19,2676,1.94
202662,What Jeremy Cowart Loves About Wedding Photography,6,1467,1.42
202677,"5...shit, 6",10,153,15.2
202688,I need a Job,13,146,16.06
202692,5 Vignettes,7,281,9.68
202803,5 Vignettes,10,220,4.27
202810,Lip Dubbing : Grace Kelly by Mika,7,338,5.6
202812,the fives,8,120,3.4
202818,O'Hare Ambient Lapse,23,991,12.7
202845,Ed Pearlman,8,180,5.1
202916,Me-ow,8,114,1.32
203000,5 Vignettes,16,279,12.15
203011,8mm & Super8 Film Experimental Collage,24,709,8.91
203014,ELECTRO NIGHT 2 - Martin's 24th Birthday,22,544,43.75
203066,Lip Dubbing: Andrew W.K. - Party Hard,15,531,8.76
203101,Yellow Spring,9,107,2.22
203104,Things I like,133,4763,211.75
203155,Particle Tree .........................................................................,13,933,2.76
203228,something about bandits,7,142,9.2
203254,My Brain ...........................................................................................,25,1550,10.62
203255,Kiki & the annuals,6,57,6.8
203286,Scary Faces on Fingeres,17,370,11.22
203301,Lip dubbing - Too Young,6,336,5.3
203305,my window,12,831,14.08
203306,I like my boomstick!,8,322,6.75
203338,Funny Balloon Baby,12,177,7.2
203380,Chocolate Flavoured Roflcopters,32,1768,15.84
203395,Rabbit Grooming,6,173,8.26
203411,my dad took my dog and i to the mall,21,290,44.22
203424,Pat McGinn Gets Upset,26,3914,19.95
203430,figure 8 thingys,19,1505,7.92
203466,Guitar Hero Party,11,764,13.31
203509,Stickam Strikes Again,7,197,5.04
203531,caribbean trailer,9,1014,14.28
203556,Snacky Treat Run,13,226,16.38
203579,Fourth five by five ( 5 Vignettes),9,112,12.9
203678,"Davey Dance Blog - MONT ST. MICHEL - Modest Mouse - ""Float On""",32,3688,9.3
203698,"Davey Dance Blog -9- MONTMARTRE - The Postal Service - ""Such Great Heights""",57,4453,20.33
203702,"Davey Dance Blog -10- PARIS - Andrew Thompson - ""There Must Be Some Misunderstanding""",15,3602,2.94
203713,"Davey Dance Blog -11- LACANAU - Weezer - ""Across The Sea""",16,3104,3.72
203714,Bro',36,472,31.92
203719,Computer Sings About the Devil,10,1987,4
203723,"Davey Dance Blog -12- BARCELONA - I'm From Barcelona - ""Treehouse""",46,4270,17.16
203760,Mountain Dew.,7,123,3.72
203779,The Job Application,11,284,6.72
203830,US Military Vs MySpace,13,110,4.98
203881,Beep (Noah Dancing),8,138,3.35
203904,"""Fuck"" and my mother.",8,6211,1.76
203918,Kaboom,11,204,12.32
203919,Myriad --New Extended Opening--,12,184,14.08
203944,Bug,15,412,18.43
203961,5 Vignettes II,10,225,3.54
203997,Tokyo,6,786,1.24
204005,Subway Sweeper,13,651,4
204012,5 Vignettes,14,226,12.6
204043,"First Friday Art Walk, Honolulu, Hawai'i",11,466,19.44
204096,Three Cute Chicks,12,359,9.8
204098,Lip Dub - My Moon My Man,52,1378,71.5
204137,Sunday Rain,16,413,5.05
204163,typestream,11,375,2.64
204169,El Conductor,17,718,5.76
204214,bouw! design channel 2007,28,579,4.75
204248,5 Vignettes - Brooklyn Saturday,12,1437,4.69
204259,HOLWERDAAAAA,18,553,16.24
204263,5 Vignettes,7,174,0
204272,Holwerdaaaa!!!,17,460,12.15
204275,Tangible Sequencer French Counting,12,633,0.63
204280,Dad's Spanish Talk,16,244,11.73
204281,Tangible Sequencer Line,17,456,3.84
204290,yoshimi.,6,133,4.2
204291,Kraak & Smaak - Money In The Bag,8,397,0
204310,Army Men Melting Ritual,33,577,24.44
204336,HOLWERDAAAAAA!,17,268,16.34
204346,Hello,15,155,14.16
204366,RIP TAK(e) IT IN,6,105,2.22
204517,Life' Lyrics Explained,15,410,12.42
204519,"Bach's ""Little"" Fugue",66,33897,7.63
204535,Too Many Tacos?,9,435,21
204588,meshdeform,8,655,3.92
204608,5 vignettes,6,254,8.82
204646,Lip Dub - The Office,31,777,11.2
204647,Sick Throw,136,61420,39.24
204657,Fall From Grace,6,240,6.84
204658,Sam Reich: Professional Baller,31,7960,27.81
204731,Tom Cruise,19,469,15.39
204756,The Worldâ€™s Largest and Most Engaging Aquarium,7,706,3.75
204759,useless overdubs,8,132,3.96
204829,Dotally Bike Ride,8,64,19.36
204853,Pancake Brunch,19,325,8.88
204896,the HOLWERDA Howl,19,348,12.9
204940,DEMOLITION,7,186,14.98
204975,Backroom Terror,8,212,11.62
205020,craig getting shot with an automatic bb gun,11,2621,6.02
205158,Holwerdaaaaaaaa!,8,254,7.36
205161,return of vlog,23,342,12.24
205185,5X5: Eagle Creek,14,742,13.65
205255,lipsync funiculi numerick,7,430,6.55
205316,A Day With Hagatha,17,550,34.32
205397,Tattoo,142,95490,43.86
205446,Lucidhouse vs D.A.R.Y.L > live at the Loft with MICROCHUNK,11,513,7.74
205513,Psyk,82,18354,8.54
205547,Gangster,9,273,6.42
205578,"So, this person shows up.",11,271,7.8
205593,Noble BMX Jam,11,10706,1.28
205599,drat drat,12,159,16.8
205610,Michael Nakajima Video Blog,15,235,12.42
205649,451: North Carolina,6,317,2.4
205670,Vimeo Meet Up Invite!,21,2917,49.02
205716,Wound Up,62,1390,46.41
205730,loads of fun.,12,1296,8.68
205757,After the rains,7,89,4.2
205773,Untitled,46,1089,27.94
205797,Caught red handed,14,299,5.35
205829,The Call,6,233,18.7
205836,Atlantic City!,6,251,6.18
205843,part 2: stay with me,13,242,10.71
205855,"Gabriel Teodros ""No Label (Esma Remix)"" Music Video",6,528,0.84
205859,Puddles FiVe bY FiVe ( 5 Vignettes ),6,106,2.85
205999,Hi,11,310,13.58
206000,1983,17,108,19.57
206032,Frisbee Air Bounce,10,1215,7.74
206052,My 5 Vignettes 01,10,127,13.1
206057,40x1,17,182,18.4
206066,Box Mirror,14,1078,2.02
206071,My 5 Vignettes 02,8,150,3.72
206083,sunday trailer 2,9,8423,3.33
206200,Lip Dub (duet!) - Nothing Better,120,4711,71
206274,Randy Jones @ MUTEK 2007 _ [tV],6,258,3.9
206302,Zurich Arrival and Johann,15,348,13.64
206349,A strange occurrence.,6,361,1.74
206373,mongoose,7,269,10.71
206401,Placebo,8,210,3.21
206443,"Dogs That Shoot Bees From Their Mouths When They Bark...Ok, Not Really. It's Just Bees.",6,203,6.6
206452,TO THE USERS OF VIMEO,97,1191,77.22
206457,BattleShip,142,82228,26.8
206474,"Me Right Now - June 6, 2007",14,532,26.4
206495,The Human Hamster,35,437,10.44
206502,Goslings and Peoplings,23,553,22.26
206513,The man and the violin,22,375,20.68
206601,1st,7,168,7
206602,3Yrs +,13,222,16.2
206671,Scruff_E_Guy's Voices Part D'oh...Contemporary Culture Moment,6,90,10.32
206723,Rocking Out,6,82,2.76
206725,...My Problem with this Microwave...and an apology,26,355,18.75
206742,Scary T Rex,12,263,21.25
206787,my taco flavored kisses,6,3901,9.6
206822,My 5 Vignettes 03,12,114,3.04
206823,My 5 Vignettes 04,12,118,2.24
206825,My 5 Vignettes 05,13,137,0
206826,My 5 Vignettes 06,16,163,10.71
206876,Kalaharjo Pictures Intro,9,143,9.75
206902,chicken bump 04,9,105,1.6
206931,5 Vignettes,21,353,16.15
206991,street slinger,6,93,3
207016,Lip Dubbing: Since U Been Gone,14,1321,6.6
207025,The more you try to erase me...,7,1064,0.92
207102,Birth Year Project- 1964,12,204,28.75
207105,7-May,8,117,2.26
207118,Contemporaneous Architecture with Gary Gehry,17,1552,15.34
207132,Shakesperian Thriller (fixed),8,270,10.78
207168,DC skate plaza,11,2995,7.38
207218,"bringing ""oua-oua"" back",10,303,6.44
207236,Burger King in Zurich,17,556,10.56
207249,Born In To This (1969),13,157,15.73
207261,Five Vignettes,10,139,0.65
207265,5 Vignettes 2,9,119,2.34
207277,Enough Stones: A documentary about Homer Shadowheart,21,490,24.32
207309,Lavalamp 01,13,1788,3.24
207327,Practical Joke,99,87934,18.02
207339,volando cometas,7,176,7.8
207340,Things I dislike,47,1121,57.42
207366,Daughter's First Video Editing,30,1237,17.5
207406,desperately seeking a few good men,8,184,11.04
207407,In the Stonework,11,117,11.25
207488,Underwear,19,280,15.4
207502,"Davey Dance Blog -13- AVIGNON - Jean Sablon - ""Sur le Pont d'Avignon""",17,3093,4.98
207506,"Davey Dance Blog -14- VERSAILLES - Otis Redding - ""Satisfaction""",40,4294,4.86
207507,okee dokey,8,93,7
207511,"Davey Dance Blog -15- PARIS - Sir Mix-A-Lot - ""Baby Got Back""",49,5083,10.08
207525,"Davey Dance Blog -16- AMSTERDAM - Jackie Wilson - ""Your Love Is Lifting Me (Higher)""",42,6696,11.88
207537,"Davey Dance Blog -17- ANNE FRANK HOUSE - Michael Jackson - ""Smooth Criminal""",43,3922,14.4
207637,Voronoi,119,24436,16.2
207684,Radio Edit,6,97,1.56
207690,5x5 (5),11,136,4.88
207709,Cinco minivideos,11,190,12.1
207717,everyone's best friend....,16,250,30.42
207721,"Davey Dance Blog -18- BERLIN - Cold War Kids - ""We Used To Vacation""",34,3403,7.56
207723,"Davey Dance Blog -19- BERLIN - The Beatles - ""Back In The USSR""",13,2675,8.54
207727,The Other Mummy,20,180,14.76
207730,"Davey Dance Blog -20- BERLIN - Bruce and Bongo - ""Geil""",25,2632,4.62
207737,"Davey Dance Blog -21- MAINZ - Simian - ""Never Be Alone""",37,4273,16.77
207744,"Davey Dance Blog -22- OPPENHEIM - The Arcade Fire - ""Windowsill""",8,2738,6.15
207757,5 vignettes,11,1046,14.56
207778,what we do at newport university,7,162,6.4
207893,LipDub - Undone - Weezer (in Paris),299,103273,122.04
207927,lipdub: Final Fantasy remix of Stars - Your Ex-Lover is Dead,7,444,10.56
207942,LOL,23,2275,34.3
207982,huge poptart,7,313,3.45
208039,Centre Le Corbusier,8,409,0.93
208041,2cts Holwerda,9,95,5.39
208051,One Minute of Zurich,10,300,3.9
208107,Island in the sun - Weezer Lip Dub in the sun,25,1027,32.4
208124,oh Canada,9,184,5.28
208156,LipDub FOREIGN LANGUAGE,9,274,11.6
208164,Beer,209,209158,43.65
208238,Prank turned Gift,6,129,5.46
208278,Inside the Mind of Scruff,6,124,9.52
208287,genesis giving victoria her flower,8,152,13.97
208292,for victoria,9,165,9.24
208313,Blue,29,403,20.65
208322,Holwerdaaaaaa,6,120,5.04
208390,Davey Dance Blog -23- FRANKFURT - Tenacious D -,17,3371,5.4
208409,rolling,25,284,7.41
208446,"Davey Dance Blog -25- MAINZ - The Blood Arm - ""Suspicious Character""",29,2971,3.95
208491,Spanish Reggae (I'm diggin' it),18,381,28.05
208552,Birth Year Project: 1969,19,312,20.72
208594,Shook - Over the Pond official trailer,10,9505,4.08
208615,The Bat,28,460,24.08
208718,Vegas Rules Promo,8,275,14.56
208745,Lipdub: Slow Like Honey,9,323,26.25
208754,Heaven,47,849,29.93
208761,Of the now,96,25309,23.28
208807,_silent_walking_B,15,141,13.32
208830,New York Marble Tryout,11,1847,15.58
208982,UP UP AND AWAY,32,599,52.02
209026,Things I Like,34,1035,30.3
209034,Flour sack exercise,16,791,15.9
209049,trying to sing Maggie...,7,135,13.86
209188,Meg's Delicious links,11,757,0.9
209264,Balloons!,15,600,6.65
209267,1975,11,238,19.8
209303,A Graduation,12,298,34.32
209362,Max,21,261,17.78
209372,Lip-Dub: Alkaline Trio,7,805,1.16
209415,5 Vignettes,12,146,16.94
209436,Audrey & Rayne: Swimming,9,356,8.5
209468,31 min   aka   eternal fork,25,231,17.6
209472,5 vinhetas,13,392,11.85
209494,KusKus,27,6286,4.75
209526,Shadow,10,146,13.26
209531,Cicadas,8,195,13.2
209533,Walk,6,154,17.28
209569,Wormhole,6,126,2.94
209573,"Congrats to Jakob, Zach and Duplo on your 60 Minutes appearance!",17,332,32.67
209587,Backpacked man,14,245,11.3
209606,Memorial Day Vignettes,12,3735,8.91
209625,Sorry Alex,8,172,11.61
209637,Portland Vimeo Meetup,22,952,43.55
209668,Birth year project - 1959,15,157,12.6
209670,Bamfafied,8,270,4.55
209676,Marsh @ Sunset,15,93,19.84
209685,90s Party - Part 2,6,235,2.13
209724,Negotiations Trailer,8,172,2.62
209739,I Never Thought You'd Come & Go,6,152,6.23
209909,"Why I Like You (chriskalani, themarkpike, PEIKA, BikiniArtist)",28,527,36.8
209940,Animation Demoreel - June 2007,6,945,3.12
209954,Ping Pong,155,59868,47.25
209957,Dog Watering,11,130,21.85
210030,hamster wheel,9,295,5.4
210055,Why I Like You,16,243,26.24
210088,Make-up in Kerala,17,476,16.08
210098,Left out,17,762,17.78
210211,Alain and Ann dancing lindy hop,6,301,0.81
210222,Outside,6,130,3.84
210242,lip dub Saturday,6,452,6.84
210250,Maxenpoo,15,318,11.4
210283,Daisy - Water Fun,14,78,14.72
210303,KNUT | Neon Guide,9,478,0
210306,Sunglasses,158,158761,25.38
210310,1976,26,432,34.02
210333,Low Maintenance,11,159,12
210545,liquid sunshine,15,1772,3.76
210563,prepping elsie for the ride,12,194,17.03
210581,Tree animation!,9,476,3.99
210609,"it's tomorrow, SOMEWHERE",18,187,13.44
210689,first week of summer,7,4591,4.75
210704,vancouver aquarimariadam,32,611,23.8
210725,We Tigers,12,507,7.81
210770,Keith Kin Yan mograph/VFX reel 07,9,552,7.7
210799,Close Act : XL Insects,9,575,3.21
210809,lip dub: scenario 90s party,19,954,34.65
210815,Brownies,12,182,9.5
210824,DSC Promo 2,8,3837,2.25
210919,Klingatrons Mitchell Alley Stencil,7,234,2.64
210935,5 Vignettes,13,283,7.77
210981,3,32,984,16.53
211009,to(ro)nto,7,115,5.55
211046,Fox Run,23,271,20.7
211053,Dana's Stand-up,6,643,3.16
211079,Dr Dre,39,1430,13.65
211104,Video of the Week: Walking Around,22,1757,24.96
211157,Five,47,1197,11.97
211277,Lip Dub - Mariah Carey Fantasy,14,302,5.84
211362,Happy Birthday PEIKA!!!,22,358,15.3
211395,Happy Birthday PEIKA!!,8,141,17.78
211405,Vimeo Education,8,147,14.08
211406,100,17,194,31.68
211430,silly project: OBAR,8,225,15.68
211435,Goalproving - Apple Store (Step 1),19,617,40.59
211448,day 1,6,102,11.97
211471,1979,17,291,19.95
211532,The Preparation (Bonnaroo Music Festival-- Part. 1),6,324,18.2
211558,Last Night's Thunder Storm,28,408,12.3
211579,Inchy,22,178,8.96
211590,Fishing With Dad,11,387,15.96
211604,Painting in the Basement,11,186,2.2
211624,vodkawater: can you answer me?,6,482,3.88
211666,rope swing!,7,501,14.64
211670,Airport 5X5,23,1134,15.84
211680,"Birds over West Lakeview, Chicago, IL",10,195,5.11
211691,Peephole,10,490,3.72
211709,I'm being nerdy again!,8,79,3.5
211713,The Lament of Tom,6,98,5.7
211759,fit bike co rasta boys,11,19713,2.37
211765,1996- The Year My Son Was Born,34,402,32.16
211781,Super Hooper,12,981,3.15
211834,Excuse Me,411,62819,109.22
211889,Soda Chaos,10,1041,16.94
211906,Bathroom tour: Padded Bras,9,601,19.04
211915,Statutory Silence (HD),49,3944,17.85
211933,"The Candy Song: ""Charlie the Unicorn"" Lip Dub",19,666,17.55
211937,Together We Stand,10,126,5.36
211953,V-V-V-V-V-VCR,39,1361,13.2
211981,At Work,7,146,11.34
211999,In Favor of Nutrition,61,645,55.25
212002,Popping Bubbles,7,108,2.13
212008,Football vs Rabbit,65,8123,9.1
212013,Moving Moments,12,1417,9.31
212073,Captain Asparagus,23,7242,15
212100,VOTW: walking around,8,64,4.86
212102,CNN shows Brief Messages,20,232,23.2
212105,CV:10SQ: Living on a TV set,58,3994,37.8
212122,Worker's Block for Posalooty,23,177,11.4
212151,sunglasses,25,326,21.47
212154,Weapons,131,120307,42.24
212164,Animation,6,1110,0.7
212205,Puma Life,26,1125,7.2
212246,The Other Car,12,162,10.4
212286,Memories of Fantasies Forgotten,177,5976,67.34
212295,Insomnia,8,83,10.2
212302,Walking About,15,268,15.4
212305,BOX,9,235,21.28
212344,Way-to-Work Fun,9,316,6.93
212350,Double Dutch,6,141,5.45
212355,Video of the Week: Walking around(kinda?),6,165,10.89
212360,Rhododendron 5 X 5,7,87,7.15
212383,My Work Day by Mr B,7,63,14.28
212424,A tragedy,6,218,14.4
212464,Vimeo Resolution,7,488,13.97
212470,Holwerdaaa! - GH2 Style -,6,298,6.23
212723,Nola Chaplin,7,213,4.2
212725,"ahhh, kewl!",12,1461,5.13
212729,dogza,18,1246,11.05
212791,summer afternoon,12,964,2.94
212885,OWOOOOOGA!!!!,8,178,10.78
212907,Memories // the ocean,48,11928,32.39
212932,A Whole New Lip Dub,259,14337,87.36
212962,bk: 5 Vignettes,18,572,9.3
212981,Simple Pleasures,23,386,22.8
212987,Word on the Street,46,2144,36.63
212993,1962,9,92,10.72
213013,"One Minute of Geneva, Switzerland",8,121,4.86
213014,HD dreams,30,2062,15.08
213035,family fauxtograph,8,185,2.85
213051,Couch Surfing in Lausanne,14,454,11.07
213066,One Minute of Lausanne,13,209,6.12
213073,The Joels Talk Video Sharing Sites,14,135,10.71
213087,"One Minute of Bern, Switzerland",9,277,9.92
213088,"Inspiration, where are thou?",22,322,36.27
213094,Screen Name,136,94751,22.01
213122,Trick on Gert,10,637,9.24
213123,Coronado to Imperial Beach,77,1801,14.26
213128,Don't miss your train,31,1717,47.6
213156,Disappearance,23,435,18.75
213240,Meet Reality,13,349,10.3
213244,Bye!,19,563,11.88
213301,Too Many Puppieeeeeez,15,478,27.72
213337,That's What I Like About You,19,532,9.52
213371,Pamplona,33,368,24.72
213406,Sabotage Beastie Boys,24,1806,27.26
213418,Christopher! Do you want to see my pineapple?,6,66,1.94
213430,Making fun of Andy Goldsworthy,6,561,3.35
213433,What I think about YOU (project),40,516,27.36
213442,showreel 2007,11,1570,3.12
213465,Strange Fruit : Absolute Pearl,25,1641,5.04
213538,Whole Foods,11,1631,38.13
213572,bean bag assembly line,6,80,1.15
213635,Bobby Brown Goes Down - Lip Dub,10,158,7.26
213649,Paper Airplanes,12,388,20.2
213678,Last Bob Barker TPIR Ever,25,413,48.64
213708,Why I Like You,6,227,25.74
213710,What I Like About You (Project),12,203,16.8
213745,come back fuzzy dave!,18,236,30.69
213756,Richard Moross of Moo.com,9,637,4.97
213760,Boys Vs Girls,9,1682,12.32
213762,Train Journey,19,221,27.2
213790,Last Harvest,7,287,1.54
213796,street performance in victoria,13,177,10.3
213810,pencil_Evanildo_1,7,252,0
213812,jenga,17,305,26.8
213816,Red TD Table Mini,16,1683,5.52
213826,Jakob and a Rebecca hanging hard,44,10408,30.8
213831,Streeter Loses It,84,19528,36.63
213832,Roboplug,24,11334,7.63
213868,kitchen rap,14,431,11.9
213881,A MESSAGE FOR ALL,33,325,20.25
213919,Throw Away,6,3039,4.64
214019,Boys Vs. Girls,290,76433,170.3
214047,monkey's butt is red,237,26065,58.42
214054,"Liszt, Feux Follets, S.139, R.2b, #5",22,3530,6.09
214102,Scruff_E_Guy's College Years,6,127,11.9
214140,Never nudes,29,1673,22.5
214199,O-RUDO | The Trip,11,454,4.48
214337,Condemned US Customs Office Tour,6,153,6.96
214431,Broken Brakes (good bad),7,221,8.36
214435,Barenaked Ladies Lip Dub on a mucky Day,9,310,18.87
214459,Vegas Lunch,42,603,9.75
214486,text message,7,188,16.12
214492,"Facial Expression Commentary - ""Teachers""",6,292,1.34
214497,A tour of my new apartment,7,399,12.98
214502,What I LIKE about YOU,35,765,47.16
214512,Head Dub,10,739,4.38
214530,viking accordionist,17,499,8.68
214551,ice cream truck dance,13,1040,7.37
214556,Birth Year Project: 1981,16,173,39.68
214566,Dune Buggy,9,447,7.2
214591,What I Like About You: Obar,21,382,17.1
214600,Video of the Week: Walking around,9,355,18.24
214604,Music Tree,6,445,2.06
214605,Zooomr Sticker Making,9,1390,5.88
214640,lol,6,1313,3.24
214643,Why I like YOU!,28,542,91.63
214663,5 Vignettes (Part II),21,439,17.22
214723,Looby Needs A Vacation!,17,343,26.25
214744,Happy Father's Day!,10,147,20.91
214775,interesting monster,16,1080,0
214790,5x5 (6),8,141,4.4
214795,Euclid edit 6/17/2007,11,2329,9
214858,trick on wes,6,145,12.1
214875,niki croft seventies promo,6,2712,0
214887,"Snowed in at The Valley Hostel in Lauterbrunnen, Switzerland",9,252,4.16
214897,Walking to the Waterfalls near Lauterbrunnen,9,403,5.64
214911,TrÃ¼mmelbach Falls in Switzerland,7,529,5.81
214954,"what i like about YOU (dalas verdugo, AA, bednarz)",9,326,26.52
214997,"""Red River, Straw Hat"" Scott King",12,147,18.76
215000,World's Shortest Radio Program,8,105,12.72
215011,VW Club Cruise,19,497,26.18
215117,SLO Train,13,852,7.14
215122,Back,15,402,15.4
215199,the epsteins & friends goto Louisiana,6,303,8.1
215216,Town fest (Fete dans la ville),22,660,53.6
215328,Sunday is Motion day!,10,840,6.21
215329,Leekspin Remix,6,996,3.35
215354,Disney Dub: What's This,10,222,19.35
215423,New Age Girl Lip Dub,21,568,14.04
215427,Artifacts,10,116,9.28
215455,Resting on a Sunday afternoon,7,158,12.5
215484,10sq - Andre - Which superhero would you marry and why?,10,235,6.6
215510,"""Officer Kincaid"" Scott King on the show",7,157,4.2
215531,my job!!!!,15,486,5.32
215539,WHAT I LIKE ABOUT YOUS GUYS,9,286,24.13
